"Popolazione residente per età, sesso e stato civile al 1° gennaio 2019"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"13";"Abruzzo";0;4471;0;0;0;0;0;0;4471;4259;0;0;0;0;0;0;4259;8730
"13";"Abruzzo";1;4864;0;0;0;0;0;0;4864;4562;0;0;0;0;0;0;4562;9426
"13";"Abruzzo";2;5103;0;0;0;0;0;0;5103;4803;0;0;0;0;0;0;4803;9906
"13";"Abruzzo";3;5203;0;0;0;0;0;0;5203;4874;0;0;0;0;0;0;4874;10077
"13";"Abruzzo";4;5274;0;0;0;0;0;0;5274;4987;0;0;0;0;0;0;4987;10261
"13";"Abruzzo";5;5383;0;0;0;0;0;0;5383;5055;0;0;0;0;0;0;5055;10438
"13";"Abruzzo";6;5603;0;0;0;0;0;0;5603;5346;0;0;0;0;0;0;5346;10949
"13";"Abruzzo";7;5796;0;0;0;0;0;0;5796;5307;0;0;0;0;0;0;5307;11103
"13";"Abruzzo";8;5898;0;0;0;0;0;0;5898;5614;0;0;0;0;0;0;5614;11512
"13";"Abruzzo";9;5797;0;0;0;0;0;0;5797;5480;0;0;0;0;0;0;5480;11277
"13";"Abruzzo";10;6010;0;0;0;0;0;0;6010;5679;0;0;0;0;0;0;5679;11689
"13";"Abruzzo";11;5845;0;0;0;0;0;0;5845;5615;0;0;0;0;0;0;5615;11460
"13";"Abruzzo";12;5873;0;0;0;0;0;0;5873;5482;0;0;0;0;0;0;5482;11355
"13";"Abruzzo";13;5871;0;0;0;0;0;0;5871;5628;0;0;0;0;0;0;5628;11499
"13";"Abruzzo";14;6008;0;0;0;0;0;0;6008;5533;0;0;0;0;0;0;5533;11541
"13";"Abruzzo";15;5949;0;0;0;0;0;0;5949;5523;0;0;0;0;0;0;5523;11472
"13";"Abruzzo";16;5895;0;0;0;0;0;0;5895;5440;0;1;0;0;0;0;5441;11336
"13";"Abruzzo";17;6029;0;0;0;0;0;0;6029;5689;0;0;0;0;0;0;5689;11718
"13";"Abruzzo";18;6360;1;0;0;0;0;0;6361;5615;11;0;0;0;0;0;5626;11987
"13";"Abruzzo";19;6333;6;0;1;0;0;0;6340;5688;37;0;0;0;0;0;5725;12065
"13";"Abruzzo";20;6474;14;0;0;1;0;0;6489;5836;73;1;0;0;0;0;5910;12399
"13";"Abruzzo";21;6542;13;1;0;0;0;0;6556;5713;104;0;1;0;0;0;5818;12374
"13";"Abruzzo";22;6480;39;0;0;0;0;0;6519;5918;164;1;0;1;0;0;6084;12603
"13";"Abruzzo";23;6534;85;0;1;0;0;0;6620;5663;296;3;0;1;0;0;5963;12583
"13";"Abruzzo";24;6633;122;1;0;2;0;0;6758;5914;404;5;1;0;0;0;6324;13082
"13";"Abruzzo";25;6887;168;0;0;1;0;0;7056;5925;556;3;2;3;0;0;6489;13545
"13";"Abruzzo";26;6981;289;1;0;0;0;0;7271;5976;820;6;1;1;0;0;6804;14075
"13";"Abruzzo";27;6776;410;5;0;2;0;0;7193;5651;1131;12;1;1;0;0;6796;13989
"13";"Abruzzo";28;6696;620;3;0;0;0;0;7319;5461;1460;26;4;2;0;0;6953;14272
"13";"Abruzzo";29;6480;943;5;2;2;0;0;7432;5047;1806;37;4;2;0;0;6896;14328
"13";"Abruzzo";30;6211;1206;18;0;0;0;0;7435;4782;2309;39;6;1;0;0;7137;14572
"13";"Abruzzo";31;5638;1536;11;3;0;0;0;7188;4284;2722;46;7;3;1;0;7063;14251
"13";"Abruzzo";32;5507;1929;15;2;4;0;0;7457;3937;3167;73;11;3;0;0;7191;14648
"13";"Abruzzo";33;5253;2344;29;1;0;0;0;7627;3842;3481;96;11;2;0;0;7432;15059
"13";"Abruzzo";34;4957;2787;51;1;3;0;0;7799;3493;3862;122;13;2;1;0;7493;15292
"13";"Abruzzo";35;4675;3040;55;2;0;0;0;7772;3194;4172;126;15;1;0;0;7508;15280
"13";"Abruzzo";36;4440;3470;90;4;1;0;0;8005;3130;4685;155;21;1;0;0;7992;15997
"13";"Abruzzo";37;4189;3723;85;4;6;0;0;8007;2793;4863;191;36;3;0;0;7886;15893
"13";"Abruzzo";38;4068;4147;104;5;6;0;0;8330;2636;5052;245;42;1;0;0;7976;16306
"13";"Abruzzo";39;3899;4554;146;8;2;0;0;8609;2501;5517;270;38;5;0;0;8331;16940
"13";"Abruzzo";40;3784;4998;183;6;4;0;0;8975;2366;5942;297;37;1;0;0;8643;17618
"13";"Abruzzo";41;3724;5095;167;12;2;0;0;9000;2284;6061;318;61;4;0;0;8728;17728
"13";"Abruzzo";42;3574;5542;235;9;3;0;0;9363;2236;6521;376;73;2;0;0;9208;18571
"13";"Abruzzo";43;3339;5757;258;23;3;0;0;9380;2234;6873;442;87;1;0;0;9637;19017
"13";"Abruzzo";44;3353;6351;284;18;3;0;0;10009;2025;7221;468;125;1;0;0;9840;19849
"13";"Abruzzo";45;2989;6353;307;28;3;1;0;9681;1932;7435;493;113;1;0;0;9974;19655
"13";"Abruzzo";46;2863;6741;337;28;2;1;0;9972;1871;7648;562;135;2;0;0;10218;20190
"13";"Abruzzo";47;2759;6905;380;25;2;0;0;10071;1834;7943;588;162;3;0;0;10530;20601
"13";"Abruzzo";48;2557;6979;366;36;4;0;0;9942;1563;7937;580;179;1;0;0;10260;20202
"13";"Abruzzo";49;2463;7508;422;44;3;0;0;10440;1606;8133;661;219;2;0;1;10622;21062
"13";"Abruzzo";50;2276;7552;447;48;3;0;0;10326;1482;8183;653;240;0;0;0;10558;20884
"13";"Abruzzo";51;2048;7754;454;58;5;0;0;10319;1424;8446;631;266;4;0;0;10771;21090
"13";"Abruzzo";52;1950;7974;457;78;5;0;0;10464;1284;8504;639;363;0;0;0;10790;21254
"13";"Abruzzo";53;1780;8048;547;98;4;1;0;10478;1190;8585;648;387;2;0;0;10812;21290
"13";"Abruzzo";54;1777;8280;498;101;2;0;0;10658;1167;8504;676;418;1;1;0;10767;21425
"13";"Abruzzo";55;1483;7804;493;103;4;0;0;9887;1058;8121;631;477;1;1;0;10289;20176
"13";"Abruzzo";56;1378;7477;501;109;3;0;0;9468;954;7874;556;533;0;0;0;9917;19385
"13";"Abruzzo";57;1235;7313;480;112;1;0;0;9141;975;7828;576;560;2;0;0;9941;19082
"13";"Abruzzo";58;1137;7368;436;124;2;0;0;9067;891;7640;580;621;2;0;0;9734;18801
"13";"Abruzzo";59;1037;7295;427;147;1;0;0;8907;801;7576;527;685;1;0;0;9590;18497
"13";"Abruzzo";60;1002;7034;392;155;0;0;0;8583;772;7238;477;709;2;0;0;9198;17781
"13";"Abruzzo";61;899;7026;366;174;0;0;0;8465;735;7106;440;786;0;0;0;9067;17532
"13";"Abruzzo";62;792;7118;387;167;2;1;0;8467;636;6831;387;943;0;0;0;8797;17264
"13";"Abruzzo";63;793;6943;332;197;0;0;0;8265;650;6895;399;1020;0;0;1;8965;17230
"13";"Abruzzo";64;763;6821;296;217;2;0;0;8099;580;6682;338;1163;1;1;0;8765;16864
"13";"Abruzzo";65;639;6467;293;179;1;0;0;7579;535;6201;348;1126;1;0;0;8211;15790
"13";"Abruzzo";66;620;6434;248;238;0;0;0;7540;529;5981;331;1306;1;0;0;8148;15688
"13";"Abruzzo";67;532;6389;237;241;0;0;0;7399;466;6084;327;1409;0;0;0;8286;15685
"13";"Abruzzo";68;508;6733;245;282;0;0;0;7768;479;6083;274;1543;0;0;0;8379;16147
"13";"Abruzzo";69;540;6750;222;309;1;0;0;7822;465;6052;251;1802;0;1;1;8572;16394
"13";"Abruzzo";70;534;6748;202;339;1;1;0;7825;479;5971;236;2049;0;0;0;8735;16560
"13";"Abruzzo";71;467;6408;200;378;0;0;1;7454;425;5392;237;2062;0;0;0;8116;15570
"13";"Abruzzo";72;439;6238;149;386;3;1;0;7216;371;5071;186;2191;0;0;0;7819;15035
"13";"Abruzzo";73;285;4542;120;274;2;0;0;5223;288;3723;153;1838;0;0;0;6002;11225
"13";"Abruzzo";74;321;4857;118;388;0;0;0;5684;313;3689;146;2193;0;0;0;6341;12025
"13";"Abruzzo";75;290;4505;108;387;1;0;0;5291;297;3473;126;2310;0;0;0;6206;11497
"13";"Abruzzo";76;295;4280;80;420;1;0;0;5076;296;3171;118;2398;0;0;0;5983;11059
"13";"Abruzzo";77;291;4214;71;473;1;0;0;5050;285;3031;110;2548;0;0;0;5974;11024
"13";"Abruzzo";78;293;4610;83;584;1;0;0;5571;351;3274;106;3150;0;0;0;6881;12452
"13";"Abruzzo";79;265;4477;105;598;0;0;0;5445;335;2978;101;3456;0;0;0;6870;12315
"13";"Abruzzo";80;228;3916;79;660;0;0;0;4883;331;2442;79;3311;0;0;0;6163;11046
"13";"Abruzzo";81;217;3715;52;642;0;0;0;4626;288;2218;70;3438;0;0;0;6014;10640
"13";"Abruzzo";82;205;3262;53;587;0;0;0;4107;300;1843;65;3407;0;0;0;5615;9722
"13";"Abruzzo";83;175;3030;39;658;0;0;0;3902;297;1694;62;3516;0;0;0;5569;9471
"13";"Abruzzo";84;148;2615;23;679;0;0;0;3465;259;1356;40;3545;0;0;0;5200;8665
"13";"Abruzzo";85;136;2385;23;682;1;0;0;3227;268;1195;49;3571;0;0;0;5083;8310
"13";"Abruzzo";86;112;1975;24;626;0;0;0;2737;249;923;28;3160;0;0;1;4361;7098
"13";"Abruzzo";87;92;1684;20;624;0;0;0;2420;252;749;32;3166;0;0;0;4199;6619
"13";"Abruzzo";88;92;1467;13;662;0;0;0;2234;262;637;28;3155;0;0;0;4082;6316
"13";"Abruzzo";89;53;1124;16;506;0;0;0;1699;218;434;21;2611;0;0;1;3285;4984
"13";"Abruzzo";90;46;829;8;480;0;0;0;1363;172;353;20;2320;0;0;0;2865;4228
"13";"Abruzzo";91;46;630;6;436;0;0;0;1118;169;233;14;2148;0;0;0;2564;3682
"13";"Abruzzo";92;30;411;4;359;0;0;0;804;136;166;11;1719;0;0;0;2032;2836
"13";"Abruzzo";93;22;313;2;299;0;0;0;636;125;119;9;1369;0;0;0;1622;2258
"13";"Abruzzo";94;14;214;2;251;0;0;0;481;103;73;11;1105;0;0;0;1292;1773
"13";"Abruzzo";95;16;148;1;173;0;0;0;338;59;54;3;881;0;0;0;997;1335
"13";"Abruzzo";96;8;93;1;121;0;0;0;223;58;33;6;680;0;0;0;777;1000
"13";"Abruzzo";97;3;72;1;121;0;0;0;197;40;13;1;503;0;0;0;557;754
"13";"Abruzzo";98;6;41;0;60;0;0;0;107;22;17;1;343;0;0;0;383;490
"13";"Abruzzo";99;0;13;0;31;0;0;0;44;20;4;1;161;0;0;0;186;230
"13";"Abruzzo";100;6;16;0;43;0;0;0;65;21;16;2;281;0;0;0;320;385
"13";"Abruzzo";999;288614;317087;12920;16327;106;6;1;635061;241988;319165;18004;86347;69;6;5;665584;1300645
"17";"Basilicata";0;1839;0;0;0;0;0;0;1839;1817;0;0;0;0;0;0;1817;3656
"17";"Basilicata";1;2043;0;0;0;0;0;0;2043;1844;0;0;0;0;0;0;1844;3887
"17";"Basilicata";2;2038;0;0;0;0;0;0;2038;1941;0;0;0;0;0;0;1941;3979
"17";"Basilicata";3;2058;0;0;0;0;0;0;2058;1956;0;0;0;0;0;0;1956;4014
"17";"Basilicata";4;2025;0;0;0;0;0;0;2025;2010;0;0;0;0;0;0;2010;4035
"17";"Basilicata";5;2090;0;0;0;0;0;0;2090;1937;0;0;0;0;0;0;1937;4027
"17";"Basilicata";6;2309;0;0;0;0;0;0;2309;2105;0;0;0;0;0;0;2105;4414
"17";"Basilicata";7;2255;0;0;0;0;0;0;2255;2127;0;0;0;0;0;0;2127;4382
"17";"Basilicata";8;2304;0;0;0;0;0;0;2304;2205;0;0;0;0;0;0;2205;4509
"17";"Basilicata";9;2443;0;0;0;0;0;0;2443;2262;0;0;0;0;0;0;2262;4705
"17";"Basilicata";10;2527;0;0;0;0;0;0;2527;2322;0;0;0;0;0;0;2322;4849
"17";"Basilicata";11;2502;0;0;0;0;0;0;2502;2301;0;0;0;0;0;0;2301;4803
"17";"Basilicata";12;2590;0;0;0;0;0;0;2590;2376;0;0;0;0;0;0;2376;4966
"17";"Basilicata";13;2536;0;0;0;0;0;0;2536;2382;0;0;0;0;0;0;2382;4918
"17";"Basilicata";14;2612;0;0;0;0;0;0;2612;2623;0;0;0;0;0;0;2623;5235
"17";"Basilicata";15;2776;0;0;0;0;0;0;2776;2517;0;0;0;0;0;0;2517;5293
"17";"Basilicata";16;2812;0;0;0;0;0;0;2812;2632;1;0;0;0;0;0;2633;5445
"17";"Basilicata";17;2897;0;0;0;0;0;0;2897;2598;0;0;0;0;0;0;2598;5495
"17";"Basilicata";18;3084;0;0;0;0;0;0;3084;2681;3;0;0;0;0;0;2684;5768
"17";"Basilicata";19;3059;4;3;0;0;0;0;3066;2750;9;0;0;0;0;0;2759;5825
"17";"Basilicata";20;3150;3;0;0;0;0;0;3153;2648;24;0;0;0;0;0;2672;5825
"17";"Basilicata";21;3100;5;0;0;0;0;0;3105;2700;49;0;0;0;0;0;2749;5854
