anno,genere,codice,regione,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2002,Totale,1,Piemonte,34254,35214,34390,34003,33574,33331,33149,33021,33397,34134,34615,34869,33708,34246,32568,33722,35023,35038,36562,38561,38970,40305,42013,45806,49029,52312,57083,59959,61107,63211,64975,64360,67286,66247,66408,69147,69039,70119,65935,63640,63312,61505,60243,58789,58825,58458,57848,57160,55987,56886,56517,59584,60164,64123,62865,61865,48209,52133,52245,53626,54941,60745,61050,60113,55141,52842,53959,51841,50332,50501,50359,51566,47058,45345,43113,40805,39068,36603,35565,34300,31636,28870,17352,12681,12449,14360,17224,15135,13821,12089,9490,7760,5854,4474,3075,2266,1548,1044,639,454,584
2002,Totale,2,Valle D'Aosta/Vallée D'Aoste,1119,1138,1111,1066,985,1078,998,991,950,1017,1009,1036,954,1015,962,995,975,975,1033,1028,982,1179,1138,1438,1375,1519,1694,1710,1824,1896,1986,2002,2099,2018,2035,2131,2113,2236,2045,1897,1924,1776,1827,1689,1679,1646,1669,1685,1655,1557,1636,1694,1697,1798,1676,1614,1305,1411,1465,1545,1530,1622,1565,1565,1412,1333,1325,1269,1291,1289,1307,1323,1191,1192,1122,1104,964,923,919,913,849,767,458,378,342,374,442,405,337,281,218,167,139,80,72,63,46,29,17,11,13
2002,Totale,3,Lombardia,83504,83892,82718,80533,79426,79178,77504,76709,77796,79063,79408,79870,78226,78423,74975,76056,79361,80367,83690,86860,89137,92006,96232,104262,111914,120351,132661,138885,142111,145787,148516,149333,155614,154421,155988,162137,161701,161362,152058,145141,141825,137391,133566,127826,125942,125240,122809,121135,118548,119425,119653,126000,127725,132883,129850,134926,100971,108827,108258,111474,115384,126329,124503,120156,109430,102638,105441,100673,96922,95945,94031,94264,86300,82374,79223,74362,71295,67988,65230,59653,56626,51642,31353,21978,21496,25323,29247,26944,23686,20081,16577,13062,9655,7338,4973,3539,2471,1666,1042,695,924
2002,Totale,4,Trentino-Alto Adige/Südtirol,10232,10474,10533,10344,10415,10320,10014,9982,9799,10226,9990,10014,9672,9664,9371,9387,9590,9502,9878,10158,10169,10245,10383,11036,11320,12023,13041,13924,14274,14637,15544,15223,16098,16034,16086,16667,17005,16929,16086,15189,15283,14583,14120,13305,13174,12767,12345,12015,11816,11713,11562,12145,11443,12024,11836,12806,9216,10593,11326,11362,11557,11090,10740,10233,9352,8982,8938,8829,8642,8568,8517,8905,8103,7974,7794,7511,7295,7168,7145,6646,6188,5503,3614,2068,1840,1721,2503,2899,2694,2372,1868,1502,1249,876,596,452,260,197,133,80,118
2002,Totale,5,Veneto,41833,43067,42478,41812,41028,40895,39697,39272,39892,41009,40827,41208,39844,40146,37504,38835,41118,40987,42030,43841,45155,46634,49233,53482,56927,60889,65255,70922,71710,73522,75287,75885,78378,77311,77923,80765,81331,81774,77229,74596,73268,69322,68802,64721,63457,63308,61201,60592,59260,59196,58566,61491,60984,63063,62035,67784,46662,54668,56317,54862,55079,58356,57312,55875,51038,48476,49507,47976,45210,44851,44413,45343,41467,41487,41353,38994,37937,35591,34917,32178,29900,28179,17051,11591,11355,13196,15527,14364,12867,10944,9093,7094,5214,4040,2798,2054,1371,955,572,441,543
2002,Totale,6,Friuli-Venezia Giulia,9550,9556,9302,9170,8816,9105,8769,8626,8751,9379,9203,9145,9098,8975,8342,8736,9166,9430,9493,9972,10342,11048,11848,13263,13605,15008,16012,17607,17778,18530,18639,18782,19168,18811,19090,19546,19819,20210,19235,18259,17966,17264,17153,16082,15811,15885,15562,15576,15526,15564,15591,16795,16676,17954,18044,19261,13373,16054,15982,16274,16670,17764,17131,16422,15062,14034,13926,13307,12969,12826,12713,13155,12055,11815,11967,11919,11473,11312,11260,10617,10644,10141,5956,3552,3680,3860,4862,4968,4413,3863,3213,2658,2043,1393,1137,794,564,376,244,150,228
2002,Totale,7,Liguria,11064,11007,10890,10826,10781,10992,10748,10862,11074,11667,11605,11512,11217,11308,10941,10809,11315,11270,11652,11813,12320,12189,13104,14286,15548,16661,18523,19953,20698,21895,22381,22318,23263,23155,23319,24751,25339,25534,24278,23445,22887,22151,22042,21132,20873,20661,20225,20399,19814,19515,19683,21223,21553,23096,24004,24588,18093,20700,20485,21133,22186,24237,24173,24137,22310,21458,21772,21169,21152,21382,21406,22288,20856,20057,19053,18461,17935,16992,16734,16147,15444,14191,8660,6934,6659,7504,8034,7777,6640,5616,4529,3751,2873,2138,1452,1132,815,591,356,272,309
2002,Totale,8,Emilia-Romagna,34023,34006,32671,31574,31305,30880,30217,30079,30175,30903,31338,31176,30138,29502,28434,28978,30272,30464,31584,32812,33954,35704,38753,42531,45708,50292,54916,59345,60651,62652,64477,64215,65689,65406,65223,67564,67108,68313,64423,62705,61757,59913,58459,55861,55773,55614,53639,52866,50887,51000,50852,53926,54685,58148,58281,60020,43181,48449,48760,48499,50166,54989,54611,55176,50384,47187,50242,49565,47184,45437,46416,47535,44178,43667,43069,41137,41673,39079,38516,36583,35155,33168,20358,14307,13190,16113,18476,16932,14967,13077,10570,8453,6104,4592,3360,2277,1652,1098,647,466,592
2002,Totale,9,Toscana,27869,27818,27257,26980,26709,26477,26308,26202,26652,27830,27926,28666,27689,28221,26767,27349,28872,28691,30007,30884,31959,33114,35488,38348,40391,43683,47320,50056,51642,52814,53856,53106,54883,54048,54735,56823,57168,57860,54301,52590,52112,50737,49731,47701,47003,47023,46218,46196,44456,44737,44818,46790,49055,52808,52750,53811,42476,42587,43543,42304,44085,49765,48630,49078,44733,42194,43510,41365,40771,39624,41526,42593,39085,38916,38225,36480,36368,34893,34067,32432,32254,29935,17775,12129,11211,13183,15604,14746,12548,11232,8659,7357,5210,4027,2721,2048,1396,966,601,448,504
2002,Totale,10,Umbria,6576,6642,6632,6475,6422,6475,6503,6460,6718,7075,6918,7105,7110,7267,6815,7160,7493,7352,8111,8052,8449,8560,8961,9502,9926,10581,11184,11613,11784,11800,12097,11879,12427,12198,12132,12550,13061,13141,12285,12022,12052,12017,11565,10941,10675,11149,10914,10786,10577,10226,10937,11170,11468,12251,11414,11173,9237,9674,10401,9758,10033,11222,10953,11398,10352,9728,10225,10096,9989,9486,10141,10538,9345,9217,9380,9174,8978,8546,8349,7779,7703,7039,4425,3037,2820,3163,3652,3347,2827,2433,1845,1550,1042,821,500,410,269,173,117,88,88
